FT	PID	QT	WT
5	1	3	1
13	2	3	5
19	4	15	2
22	3	12	5
24	7	20	2
27	6	17	5
27	5	17	5
32	10	28	2
35	8	25	5
36	13	32	2
37	9	27	5
37	11	29	4
37	16	33	2
39	14	33	3
39	17	35	2
39	19	37	1
41	12	31	5
43	15	33	5
46	18	36	5
50	20	40	5
58	22	54	2
60	21	50	5
61	25	57	2
62	24	56	3
63	23	55	4
66	26	58	4
66	28	62	2
70	27	60	5
70	31	66	2
71	29	63	4
75	30	65	5
76	34	72	2
77	37	75	1
78	32	68	5
80	33	70	5
82	38	80	1
83	35	73	5
85	36	75	5
86	40	82	2
90	39	80	5
90	43	86	2
93	41	83	5
94	46	90	2
95	42	85	5
100	45	90	5
100	49	96	2
102	44	88	7
104	50	98	3
105	47	93	6
105	48	95	5
Patients: 50	[NP: 17, SP: 19, EP: 14]
Hospitals: 4
